record,task,channel,templateHp,replicate,highpass,condition,timeSec,reference,noisyBeforeHighpass,recovered
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.12109375,2.95230554806802,-0.0628592151903025,1.503531417758
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.125,4.41691087309242,1.95127910104036,3.42926945584073
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.12890625,5.82490911095968,3.91613615052975,5.30157529307027
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.1328125,7.08636947176696,5.67985071853798,6.99096756425044
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.13671875,8.12784602996359,7.13085888376227,8.40673160686246
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.140625,8.9018156734443,8.19697127810439,9.49400989154408
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.14453125,9.39123715804345,8.84609496258146,10.2234116088729
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.1484375,9.60911594527959,9.09156349250087,10.5904941831669
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.15234375,9.59373184702832,8.99851066936402,10.633721740356
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.15625,9.40053947576616,8.66644607175942,10.4384534848699
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.16015625,9.09195068401437,8.21788957166315,10.1155135625219
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.1640625,8.72650383711467,7.7696157898072,9.7724933908282
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.16796875,8.34932875620794,7.40595587138563,9.49744454249669
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.171875,7.98606155669022,7.1780816427617,9.33888565490034
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.17578125,7.64207158652193,7.09350039989106,9.3017253974665
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.1796875,7.30780996595025,7.11792162622115,9.34489270786658
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.18359375,6.9694111430947,7.16543064570058,9.39462973584154
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.1875,6.62188329450818,7.14778362181896,9.37200403995205
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.19140625,6.2809967763623,7.02163702320133,9.2264238187454
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.1953125,5.98988011793023,6.8157337062241,8.97754030549926
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.19921875,5.81752702163814,6.63007257579932,8.73407025622355
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.203125,5.84859476570437,6.5889381208682,8.64781955649052
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.20703125,6.16636936464644,6.79594983489179,8.84299135975962
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.2109375,6.83282374981158,7.2937606800989,9.38078342059992
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.21484375,7.87070496946503,8.06366822563034,10.2472879224561
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.21875,9.25228914323462,9.03697136550532,11.371262582178
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.22265625,10.8979451943529,10.114231685636,12.6429762541435
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.2265625,12.6853667557077,11.1890550548006,13.9402458181148
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.23046875,14.4678579221586,12.1880991017746,15.1529339282265
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.234375,16.0979884664147,13.1012352290842,16.1996565308815
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.23828125,17.4517159963858,13.9383842384709,17.0353423784741
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.2421875,18.4479327564722,14.6776634087455,17.6522322192321
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.24609375,19.0593474124974,15.2758874458057,18.0724749259521
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.25,19.3124951048585,15.7020139245591,18.3207592200745
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.25390625,19.2771460099007,15.956906949387,18.4256996357358
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.2578125,19.0479215764097,16.0643078175855,18.4194382541355
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.26171875,18.7228447683742,16.0572051981343,18.3306260722443
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.265625,18.3841988361383,15.9680771012964,18.1945501388535
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.26953125,18.0861315887357,15.8193495925632,18.035605006516
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.2734375,17.8511647500964,15.6191503920351,17.8658864630653
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.27734375,17.6749462738179,15.3665659123515,17.6833079229478
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.28125,17.5362539663544,15.0567948200606,17.4749324534069
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.28515625,17.4082370517944,14.6843194968541,17.2288486097371
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.2890625,17.2673996881423,14.2528154060519,16.9360577190594
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.29296875,17.0984664511098,13.7779885142205,16.5948797269405
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.296875,16.8952026017972,13.2823710596219,16.2071678483563
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.30078125,16.6586808269634,12.7858917319512,15.7758775005811
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.3046875,16.3949402537827,12.3037406767348,15.3027669319005
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.30859375,16.1135071381372,11.847883578444,14.8156582023184
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.3125,15.8272439910678,11.4324350965921,14.3587383809373
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.31640625,15.5529917149215,11.0856210029937,13.9716659747464
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.3203125,15.3118823132758,10.8397898247112,13.6858489475305
